CP;Commune;Distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16 ;17-31 ;32-54
8220;Rubigny;135;287;302;312;327;573;659;768;865
8140;Rubécourt-et-Lamécourt;175;266;281;291;306;532;612;718;811
8290;Rumigny;250;348;363;373;388;697;801;916;1026
8110;Sachy;180;503;518;528;543;1006;1157;1288;1428
8110;Sailly;190;359;374;384;399;718;825;941;1053
8350;Saint-Aignan;170;379;394;404;419;759;873;991;1106
8310;Saint-Clément-à-Arnes;90;338;353;363;378;676;778;892;999
8360;Saint-Fergeux;115;173;188;198;213;346;398;496;570
8190;Saint-Germainmont;110;225;240;250;265;449;517;619;704
8220;Saint-Jean-aux-Bois;140;214;229;239;254;429;493;595;677
8250;Saint-Juvin;115;276;291;301;316;553;635;743;838
8130;Saint-Lambert-et-Mont-de-Jeux;110;225;240;250;265;449;517;619;704
8090;Saint-Laurent;160;214;229;239;254;429;493;595;677
8300;Saint-Loup-en-Champagne;100;318;333;343;358;635;730;842;946
8130;Saint-Loup-Terrier;145;194;209;219;234;388;446;545;624
8160;Saint-Marceau;145;287;302;312;327;573;659;768;865
8460;Saint-Marcel;150;287;302;312;327;573;659;768;865
8200;Saint-Menges;165;297;312;322;337;594;683;793;892
8400;Saint-Morel;100;328;343;353;368;656;754;867;972
8430;Saint-Pierre-sur-Vence;140;194;209;219;234;388;446;545;624
8310;Saint-Pierre-à-Arnes;95;276;291;301;316;553;635;743;838
8240;Saint-Pierremont;130;183;198;208;223;367;422;520;597
8220;Saint-Quentin-le-Petit;120;256;271;281;296;511;588;694;785
8300;Saint-Remy-le-Petit;95;235;250;260;275;470;541;644;731
8310;Saint-Étienne-à-Arnes;90;183;198;208;223;367;422;520;597
8400;Sainte-Marie;100;173;188;198;213;346;398;496;570
8130;Sainte-Vaubourg;105;194;209;219;234;388;446;545;624
8160;Sapogne-et-Feuchères;155;204;219;229;244;408;469;570;651
8370;Sapogne-sur-Marche;200;307;322;332;347;614;707;817;919
8130;Saulces-Champenoises;200;400;415;425;440;800;920;1040;1160
8270;Saulces-Monclin;124;400;415;425;440;800;920;1040;1160
8300;Sault-lès-Rethel;105;243;258;268;283;487;559;664;752
8190;Sault-Saint-Remy;95;204;219;229;244;408;469;570;651
8390;Sauville;155;183;198;208;223;367;422;520;597
8400;Savigny-sur-Aisne;100;307;322;332;347;614;707;817;919
8200;Sedan;165;194;209;219;234;388;446;545;624
8400;Semide;90;322;337;347;362;643;740;852;956
8130;Semuy;115;173;188;198;213;346;398;496;570
8250;Senuc;105;225;240;250;265;449;517;619;704
8220;Seraincourt;125;204;219;229;244;408;469;570;651
8270;Sery;115;245;260;270;285;491;564;669;758
8300;Seuil;115;225;240;250;265;449;517;619;704
8460;Signy-l'Abbaye;130;225;240;250;265;449;517;619;704
8380;Signy-le-Petit;160;256;271;281;296;511;588;694;785
8370;Signy-Montlibert;200;318;333;343;358;635;730;842;946
8430;Singly;140;400;415;425;440;800;920;1040;1160
8240;Sommauthe;130;276;291;301;316;553;635;743;838
8250;Sommerance;135;256;271;281;296;511;588;694;785
8300;Son;120;266;281;291;306;532;612;718;811
8300;Sorbon;110;235;250;260;275;470;541;644;731
8270;Sorcy-Bauthémont;125;214;229;239;254;429;493;595;677
8150;Sormonne;165;245;260;270;285;491;564;669;758
8390;Stonne;135;328;343;353;368;656;754;867;972
8400;Sugny;100;266;281;291;306;532;612;718;811
8090;Sury;160;194;209;219;234;388;446;545;624
8130;Suzanne;115;318;333;343;358;635;730;842;946
8390;Sy;130;225;240;250;265;449;517;619;704
8250;Séchault;95;256;271;281;296;511;588;694;785
8150;Sécheval;165;183;198;208;223;367;422;520;597
8230;Sévigny-la-Forêt;160;328;343;353;368;656;754;867;972
8220;Sévigny-Waleppe;125;318;333;343;358;635;730;842;946
8300;Tagnon;95;245;260;270;285;491;564;669;758
8230;Taillette;165;183;198;208;223;367;422;520;597
8240;Tailly;130;328;343;353;368;656;754;867;972
8360;Taizy;110;256;271;281;296;511;588;694;785
8390;Tannay;125;214;229;239;254;429;493;595;677
8380;Tarzy;160;245;260;270;285;491;564;669;758
8250;Termes;105;318;333;343;358;635;730;842;946
8400;Terron-sur-Aisne;110;204;219;229;244;408;469;570;651
8350;Thelonne;170;214;229;239;254;429;493;595;677
8800;Thilay;175;338;353;363;378;676;778;892;999
8460;Thin-le-Moutier;140;348;363;373;388;697;801;916;1026
8090;This;150;276;291;301;316;553;635;743;838
8300;Thugny-Trugny;110;297;312;322;337;594;683;793;892
8240;Thénorgues;120;214;229;239;254;429;493;595;677
8400;Toges;110;235;250;260;275;470;541;644;731
8430;Touligny;140;214;229;239;254;429;493;595;677
8400;Tourcelles-Chaumont;100;276;291;301;316;553;635;743;838
8800;Tournavaux;175;194;209;219;234;388;446;545;624
8090;Tournes;160;348;363;373;388;697;801;916;1026
8130;Tourteron;115;318;333;343;358;635;730;842;946
8110;Tremblois-lès-Carignan;195;225;240;250;265;449;517;619;704
8150;Tremblois-lès-Rocroi;155;390;405;415;430;779;896;1015;1133
8110;Tétaigne;185;307;322;332;347;614;707;817;919
8400;Vandy;110;369;384;394;409;738;849;966;1080
8130;Vaux-Champagne;105;214;229;239;254;429;493;595;677
8240;Vaux-en-Dieulet;130;204;219;229;244;408;469;570;651
8250;Vaux-lès-Mouron;100;256;271;281;296;511;588;694;785
8210;Vaux-lès-Mouzon;185;194;209;219;234;388;446;545;624
8220;Vaux-lès-Rubigny;135;369;384;394;409;738;849;966;1080
8270;Vaux-Montreuil;130;266;281;291;306;532;612;718;811
8150;Vaux-Villaine;145;256;271;281;296;511;588;694;785
8160;Vendresse;150;287;302;312;327;573;659;768;865
8240;Verpel;115;297;312;322;337;594;683;793;892
8390;Verrières;125;225;240;250;265;449;517;619;704
8270;Viel-Saint-Remy;130;245;260;270;285;491;564;669;758
8190;Vieux-lès-Asfeld;110;256;271;281;296;511;588;694;785
8440;Ville-sur-Lumes;155;214;229;239;254;429;493;595;677
8310;Ville-sur-Retourne;100;307;322;332;347;614;707;817;919
8140;Villers-Cernay;175;194;209;219;234;388;446;545;624
8190;Villers-devant-le-Thour;115;348;363;373;388;697;801;916;1026
8210;Villers-devant-Mouzon;175;225;240;250;265;449;517;619;704
8430;Villers-le-Tilleul;145;348;363;373;388;697;801;916;1026
8430;Villers-le-Tourneur;130;287;302;312;327;573;659;768;865
8000;Villers-Semeuse;150;256;271;281;296;511;588;694;785
8350;Villers-sur-Bar;170;297;312;322;337;594;683;793;892
8430;Villers-sur-le-Mont;140;338;353;363;378;676;778;892;999
8370;Villy;190;276;291;301;316;553;635;743;838
8320;Vireux-Molhain;190;379;394;404;419;759;873;991;1106
8320;Vireux-Wallerand;195;379;394;404;419;759;873;991;1106
8440;Vivier-au-Court;160;390;405;415;430;779;896;1015;1133
8400;Voncq;115;318;333;343;358;635;730;842;946
8400;Vouziers;105;225;240;250;265;449;517;619;704
8330;Vrigne-aux-Bois;160;204;219;229;244;408;469;570;651
8350;Vrigne-Meuse;160;318;333;343;358;635;730;842;946
8400;Vrizy;105;318;333;343;358;635;730;842;946
8200;Wadelincourt;165;204;219;229;244;408;469;570;651
8270;Wagnon;125;328;343;353;368;656;754;867;972
8000;Warcq;155;245;260;270;285;491;564;669;758
8090;Warnécourt;155;307;322;332;347;614;707;817;919
8270;Wasigny;125;307;322;332;347;614;707;817;919
8270;Wignicourt;135;245;260;270;285;491;564;669;758
8110;Williers;195;266;281;291;306;532;612;718;811
8210;Yoncq;145;390;405;415;430;779;896;1015;1133
8430;Yvernaumont;140;287;302;312;327;573;659;768;865
8300;Ecly;115;276;291;301;316;553;635;743;838
8130;Ecordal;125;225;240;250;265;449;517;619;704
8160;Elan;150;245;260;270;285;491;564;669;758
8260;Etalle;155;297;312;322;337;594;683;793;892
8260;Eteignières;160;307;322;332;347;614;707;817;919
8160;Etrépigny;150;318;333;343;358;635;730;842;946
8090;Evigny;150;297;312;322;337;594;683;793;892
10200;Ailleville;105;297;312;322;337;594;683;793;892
10160;Aix-en-Othe;95;204;219;229;244;408;469;570;651
10700;Allibaudières;30;183;198;208;223;367;422;520;597
10140;Amance;95;50;65;75;90;100;115;200;250
10700;Arcis-sur-Aube;30;183;198;208;223;367;422;520;597
10200;Arconville;130;50;65;75;90;100;115;200;250
10140;Argançon;100;256;271;281;296;511;588;694;785
10340;Arrelles;100;194;209;219;234;388;446;545;624
10330;Arrembécourt;60;194;209;219;234;388;446;545;624
10200;Arrentières;115;111;126;136;151;223;256;347;409
