cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
8190;Le Thour;115;201;211;221;231;401;441;562;642
8310;Leffincourt;100;173;183;193;203;345;380;494;569
8400;Les Alleux;115;201;211;221;231;401;441;562;642
8000;Les Ayvelles;150;266;276;286;296;533;586;719;812
8110;Les Deux-Villes;190;341;351;361;371;683;751;899;1007
8390;Les Grandes-Armoises;130;229;239;249;259;458;503;629;715
8800;Les Hautes-Rivières;175;313;323;333;343;626;689;832;934
8500;Les Mazures;170;304;314;324;334;608;668;809;910
8390;Les Petites-Armoises;120;210;220;230;240;420;462;584;666
8290;Liart;150;266;276;286;296;533;586;719;812
8110;Linay;190;341;351;361;371;683;751;899;1007
8400;Liry;95;163;173;183;193;326;359;472;544
8150;Logny-Bogny;145;257;267;277;287;514;565;697;788
8400;Longwé;105;182;192;202;212;364;400;517;593
8150;Lonny;165;294;304;314;324;589;648;787;885
8390;Louvergny;150;266;276;286;296;533;586;719;812
8300;Lucquy;120;210;220;230;240;420;462;584;666
8440;Lumes;150;266;276;286;296;533;586;719;812
8150;Lépron-les-Vallées;140;248;258;268;278;495;545;674;764
8210;Létanne;150;266;276;286;296;533;586;719;812
8310;Machault;95;163;173;183;193;326;359;472;544
8450;Maisoncelle-et-Villers;170;304;314;324;334;608;668;809;910
8370;Malandry;195;351;361;371;381;701;771;922;1032
8400;Manre;90;154;164;174;184;308;338;449;520
8460;Maranwez;140;248;258;268;278;495;545;674;764
8260;Marby;150;266;276;286;296;533;586;719;812
8250;Marcq;115;201;211;221;231;401;441;562;642
8370;Margny;205;369;379;389;399;739;813;967;1080
8370;Margut;195;351;361;371;381;701;771;922;1032
8290;Marlemont;140;248;258;268;278;495;545;674;764
8390;Marquigny;150;266;276;286;296;533;586;719;812
8400;Mars-sous-Bourcq;105;182;192;202;212;364;400;517;593
8400;Marvaux-Vieux;90;154;164;174;184;308;338;449;520
8110;Matton-et-Clémency;185;332;342;352;362;664;730;877;983
8260;Maubert-Fontaine;160;285;295;305;315;570;627;764;861
8430;Mazerny;140;248;258;268;278;495;545;674;764
8270;Mesmont;120;210;220;230;240;420;462;584;666
8110;Messincourt;185;332;342;352;362;664;730;877;983
8110;Mogues;195;351;361;371;381;701;771;922;1032
8370;Moiry;195;351;361;371;381;701;771;922;1032
8430;Mondigny;145;257;267;277;287;514;565;697;788
8130;Mont-Laurent;115;201;211;221;231;401;441;562;642
8400;Mont-Saint-Martin;100;173;183;193;203;345;380;494;569
8310;Mont-Saint-Remy;100;173;183;193;203;345;380;494;569
8250;Montcheutin;100;173;183;193;203;345;380;494;569
8090;Montcornet;165;294;304;314;324;589;648;787;885
8090;Montcy-Notre-Dame;155;276;286;296;306;551;606;742;837
8390;Montgon;120;210;220;230;240;420;462;584;666
8800;Monthermé;170;304;314;324;334;608;668;809;910
8400;Monthois;95;163;173;183;193;326;359;472;544
8170;Montigny-sur-Meuse;185;332;342;352;362;664;730;877;983
8430;Montigny-sur-Vence;135;238;248;258;268;476;524;652;739
8220;Montmeillant;135;238;248;258;268;476;524;652;739
8250;Mouron;100;173;183;193;203;345;380;494;569
8210;Mouzon;180;323;333;343;353;645;710;854;959
8150;Murtin-et-Bogny;150;266;276;286;296;533;586;719;812
8310;Ménil-Annelles;115;201;211;221;231;401;441;562;642
8310;Ménil-Lépinois;95;163;173;183;193;326;359;472;544
8300;Nanteuil-sur-Aisne;110;191;201;211;221;383;421;539;617
8300;Neuflize;95;163;173;183;193;326;359;472;544
8460;Neufmaison;145;257;267;277;287;514;565;697;788
8700;Neufmanil;165;294;304;314;324;589;648;787;885
8130;Neuville-Day;115;201;211;221;231;401;441;562;642
8380;Neuville-lez-Beaulieu;160;285;295;305;315;570;627;764;861
8090;Neuville-lès-This;150;266;276;286;296;533;586;719;812
8430;Neuvizy;130;229;239;249;259;458;503;629;715
8400;Noirval;115;201;211;221;231;401;441;562;642
8240;Nouart;130;229;239;249;259;458;503;629;715
8160;Nouvion-sur-Meuse;150;266;276;286;296;533;586;719;812
8700;Nouzonville;160;285;295;305;315;570;627;764;861
8270;Novion-Porcien;120;210;220;230;240;420;462;584;666
8300;Novy-Chevrières;115;201;211;221;231;401;441;562;642
8350;Noyers-Pont-Maugis;170;304;314;324;334;608;668;809;910
