cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
02340;La Ville-aux-Bois-lès-Dizy;131;154;184;214;234;309;355;386;432
02160;La Ville-aux-Bois-lès-Pontavert;109;131;161;191;211;261;300;326;366
02880;Laffaux;128;151;181;211;231;302;348;378;423
02140;Laigny;167;193;223;253;273;387;445;484;542
02590;Lanchy;184;212;242;272;292;424;487;530;593
02120;Landifay-et-Bertaignemont;163;189;219;249;269;378;435;473;529
02140;Landouzy-la-Cour;167;193;223;253;273;387;445;484;542
02140;Landouzy-la-Ville;160;186;216;246;266;372;427;465;520
02380;Landricourt;146;171;201;231;251;341;393;427;478
02000;Laniscourt;146;171;201;231;251;341;393;427;478
02000;Laon;138;162;192;222;242;324;373;405;454
02150;Lappion;129;152;182;212;232;305;350;381;426
02600;Largny-sur-Automne;154;179;209;239;259;359;412;448;502
02210;Latilly;135;159;189;219;239;318;365;397;445
02210;Launoy;130;153;183;213;233;307;353;383;429
02860;Laval-en-Laonnois;145;170;200;230;250;339;390;424;475
02450;Lavaqueresse;177;204;234;264;284;409;470;511;572
02600;Laversine;153;178;208;238;258;357;410;446;499
02420;Le Catelet;191;219;249;279;299;439;505;549;614
02850;Le Charmel;117;139;169;199;219;279;320;348;390
02120;Le Hérie-la-Viéville;159;185;215;245;265;370;425;462;517
02170;Le Nouvion-en-Thiérache;188;216;246;276;296;432;497;540;605
02210;Le Plessier-Huleu;143;167;197;227;247;335;385;419;469
02140;Le Sourd;165;191;221;251;271;383;440;478;536
02340;Le Thuel;128;151;181;211;231;302;348;378;423
02490;Le Verguier;186;214;244;274;294;428;492;535;599
02420;Lehaucourt;182;210;240;270;290;419;482;524;587
02140;Lemé;164;190;220;250;270;380;437;475;532
02420;Lempire;189;217;247;277;297;435;500;543;608
02540;L'Épine-aux-Bois;79;98;128;158;178;196;226;245;275
02260;Lerzy;173;200;230;260;280;400;460;500;560
02360;Les Autels;148;173;203;233;253;346;398;432;484
02170;Leschelle;181;209;239;269;289;417;480;521;584
02100;Lesdins;175;202;232;262;282;404;465;505;566
02220;Lesges;115;137;167;197;217;274;315;343;384
02120;Lesquielles-Saint-Germain;171;198;228;258;278;396;455;494;554
