cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
54370;Réchicourt-la-Petite;215;383;398;413;433;766;843;970;1038
54450;Réclonville;217;387;402;417;437;774;851;979;1047
54300;Rehainviller;198;351;366;381;401;703;773;893;958
54120;Reherrey;223;398;413;428;448;796;876;1006;1075
54430;Réhon;182;321;336;351;371;643;707;821;883
54450;Reillon;220;393;408;423;443;785;864;992;1061
54470;Rembercourt-sur-Mad;167;293;308;323;343;586;645;754;813
54830;Remenoville;212;378;393;408;428;755;831;956;1024
54110;Réméréville;192;340;355;370;390;680;748;866;930
54370;Remoncourt;216;385;400;415;435;770;847;974;1043
54450;Repaix;227;406;421;436;456;811;892;1024;1094
54630;Richardménil;176;310;325;340;360;620;682;794;855
54380;Rogéville;171;301;316;331;351;601;661;772;832
54360;Romain;194;344;359;374;394;688;756;875;939
54110;Rosières-aux-Salines;185;327;342;357;377;654;719;835;897
54385;Rosières-en-Haye;164;288;303;318;338;575;633;740;799
54610;Rouves;198;351;366;381;401;703;773;893;958
54290;Roville-devant-Bayon;195;346;361;376;396;691;760;880;944
54200;Royaumeix;161;282;297;312;332;564;620;727;785
54290;Rozelieures;206;366;381;396;416;733;806;929;996
54210;Saffais;190;336;351;366;386;673;740;857;921
54580;Saint-Ail;175;308;323;338;358;616;678;790;850
54470;Saint-Baussant;147;256;271;286;306;511;562;664;719
54290;Saint-Boingt;209;372;387;402;422;744;818;943;1010
54950;Saint-Clément;212;378;393;408;428;755;831;956;1024
54700;Sainte-Geneviève;177;312;327;342;362;624;686;799;860
54540;Sainte-Pôle;225;402;417;432;452;804;884;1015;1085
54930;Saint-Firmin;186;329;344;359;379;658;723;839;902
54290;Saint-Germain;202;359;374;389;409;718;789;911;977
54260;Saint-Jean-lès-Longuyon;174;306;321;336;356;613;674;785;846
54470;Saint-Julien-lès-Gorze;175;308;323;338;358;616;678;790;850
54800;Saint-Marcel;171;301;316;331;351;601;661;772;832
54290;Saint-Mard;140;243;258;273;293;485;534;632;686
54450;Saint-Martin;220;393;408;423;443;785;864;992;1061
