cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
89140;Sergines;109;131;161;191;211;261;300;326;366
89200;Sermizelles;165;191;221;251;271;383;440;478;536
89700;Serrigny;134;158;188;218;238;315;363;394;441
89270;Sery;165;191;221;251;271;383;440;478;536
89190;Les Sièges;110;132;162;192;212;263;303;329;369
89110;Sommecaise;178;205;235;265;285;411;472;513;575
89570;Sormery;110;132;162;192;212;263;303;329;369
89100;Soucy;114;136;166;196;216;272;313;340;381
89520;Sougères-en-Puisaye;184;212;242;272;292;424;487;530;593
89570;Soumaintrain;112;134;164;194;214;268;308;335;375
89160;Stigny;152;177;207;237;257;354;407;443;496
89100;Subligny;133;157;187;217;237;313;360;391;438
89560;Taingy;173;200;230;260;280;400;460;500;560
89420;Talcy;164;190;220;250;270;380;437;475;532
89430;Tanlay;129;152;182;212;232;305;350;381;426
89350;Tannerre-en-Puisaye;181;209;239;269;289;417;480;521;584
89450;Tharoiseau;192;221;251;281;301;441;507;551;617
89200;Tharot;179;206;236;266;286;413;475;516;578
89320;Theil-sur-Vanne;120;143;173;203;223;285;328;356;399
89420;Thizy;167;193;223;253;273;387;445;484;542
89430;Thorey;113;135;165;195;215;270;310;337;378
89260;Thorigny-sur-Oreuse;110;132;162;192;212;263;303;329;369
89200;Thory;162;188;218;248;268;376;432;470;526
89520;Thury;183;211;241;271;291;422;485;527;590
89700;Tissey;130;153;183;213;233;307;353;383;429
89700;Tonnerre;126;149;179;209;229;298;343;373;417
89130;Toucy;166;192;222;252;272;385;442;481;539
89520;Treigny;192;221;251;281;301;441;507;551;617
89420;Trévilly;176;203;233;263;283;406;467;508;569
89430;Trichey;109;131;161;191;211;261;300;326;366
89700;Tronchoy;121;144;174;204;224;287;330;359;402
89460;Trucy-sur-Yonne;164;190;220;250;270;380;437;475;532
89570;Turny;113;135;165;195;215;270;310;337;378
89580;Val-de-Mercy;159;185;215;245;265;370;425;462;517
89580;Vallan;154;179;209;239;259;359;412;448;502
89150;Vallery;130;153;183;213;233;307;353;383;429
89320;Vareilles;113;135;165;195;215;270;310;337;378
89144;Varennes;127;150;180;210;230;300;345;375;420
89420;Vassy-sous-Pisy;165;191;221;251;271;383;440;478;536
89320;Vaudeurs;112;134;164;194;214;268;308;335;375
89200;Vault-de-Lugny;173;200;230;260;280;400;460;500;560
89320;Vaumort;138;162;192;222;242;324;373;405;454
89210;Venizy;118;140;170;200;220;281;323;351;393
89230;Venouse;130;153;183;213;233;307;353;383;429
89290;Venoy;142;166;196;226;246;333;383;416;466
89600;Vergigny;119;141;171;201;221;283;325;354;396
89330;Verlin;167;193;223;253;273;387;445;484;542
89270;Vermenton;160;186;216;246;266;372;427;465;520
89150;Vernoy;164;190;220;250;270;380;437;475;532
89510;Véron;131;154;184;214;234;309;355;386;432
89700;Vézannes;126;149;179;209;229;298;343;373;417
