cp;nom;distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16;17-31;32-54
59124;Escaudain;235;472;487;497;512;944;1 086;1 213;1 348
59161;Escaudœuvres;218;437;452;462;477;874;1 005;1 129;1 257
59278;Escautpont;259;522;537;547;562;1 043;1 200;1 332;1 476
59320;Escobecques;283;571;586;596;611;1 142;1 314;1 451;1 605
59127;Esnes;210;421;436;446;461;841;967;1 090;1 214
59470;Esquelbecq;331;670;685;695;710;1 340;1 541;1 688;1 862
59553;Esquerchin;248;499;514;524;539;998;1 148;1 278;1 417
59940;Estaires;285;575;590;600;615;1 151;1 323;1 461;1 616
59400;Estourmel;215;431;446;456;471;862;991;1 114;1 240
59151;Estrées;227;456;471;481;496;911;1 048;1 174;1 305
59990;Estreux;249;501;516;526;541;1 002;1 152;1 283;1 423
59295;Estrun;227;456;471;481;496;911;1 048;1 174;1 305
59161;Eswars;219;439;454;464;479;878;1 010;1 134;1 262
59144;Eth;256;516;531;541;556;1 031;1 186;1 317;1 460
59219;Étrœungt;186;371;386;396;411;742;854;971;1 085
59155;Faches-Thumesnil;269;542;557;567;582;1 085;1 247;1 382;1 530
59300;Famars;245;493;508;518;533;986;1 133;1 263;1 401
59310;Faumont;262;528;543;553;568;1 056;1 214;1 347;1 492
59550;Le Favril;193;386;401;411;426;771;887;1 005;1 122
59247;Féchain;227;456;471;481;496;911;1 048;1 174;1 305
59750;Feignies;273;551;566;576;591;1 101;1 266;1 401;1 551
59740;Felleries;200;400;415;425;440;800;920;1 040;1 160
59179;Fenain;240;483;498;508;523;965;1 110;1 238;1 375
59169;Férin;231;464;479;489;504;928;1 067;1 193;1 326
59610;Féron;189;377;392;402;417;755;868;986;1 101
59680;Ferrière-la-Grande;212;425;440;450;465;850;977;1 099;1 224
59680;Ferrière-la-Petite;211;423;438;448;463;845;972;1 094;1 219
59570;La Flamengrie;179;357;372;382;397;713;820;936;1 047
59440;Flaumont-Waudrechies;195;390;405;415;430;779;896;1 015;1 133
59128;Flers-en-Escrebieux;253;509;524;534;549;1 019;1 171;1 302;1 444
59267;Flesquières;206;412;427;437;452;825;948;1 070;1 192
59270;Flêtre;307;621;636;646;661;1 241;1 428;1 570;1 734
59158;Flines-lès-Mortagne;262;528;543;553;568;1 056;1 214;1 347;1 492
59148;Flines-lez-Raches;255;513;528;538;553;1 027;1 181;1 312;1 455
59440;Floursies;201;402;417;427;442;804;925;1 045;1 165
59219;Floyon;187;373;388;398;413;746;858;976;1 090
59550;Fontaine-au-Bois;198;396;411;421;436;792;911;1 030;1 149
59157;Fontaine-au-Pire;220;441;456;466;481;883;1 015;1 139;1 267
59400;Fontaine-Notre-Dame;214;429;444;454;469;858;986;1 109;1 235
59222;Forest-en-Cambrésis;199;398;413;423;438;796;915;1 035;1 155
59510;Forest-sur-Marque;277;559;574;584;599;1 118;1 285;1 421;1 573
59610;Fourmies;187;373;388;398;413;746;858;976;1 090
59134;Fournes-en-Weppes;276;557;572;582;597;1 114;1 281;1 416;1 568
59530;Frasnoy;260;524;539;549;564;1 048;1 205;1 337;1 482
59236;Frelinghien;293;592;607;617;632;1 184;1 361;1 500;1 659
59970;Fresnes-sur-Escaut;258;520;535;545;560;1 039;1 195;1 327;1 471
59234;Fressain;227;456;471;481;496;911;1 048;1 174;1 305
59268;Fressies;224;450;465;475;490;899;1 034;1 159;1 289
59273;Fretin;268;540;555;565;580;1 081;1 243;1 377;1 525
59249;Fromelles;278;561;576;586;601;1 122;1 290;1 426;1 578
59242;Genech;276;557;572;582;597;1 114;1 281;1 416;1 568
59530;Ghissignies;208;417;432;442;457;833;958;1 080;1 203
59254;Ghyvelde;343;695;710;720;735;1 390;1 598;1 748;1 927
59132;Glageon;193;386;401;411;426;771;887;1 005;1 122
59270;Godewaersvelde;311;629;644;654;669;1 258;1 447;1 589;1 755
59169;Gœulzin;227;456;471;481;496;911;1 048;1 174;1 305
59600;Gognies-Chaussée;275;555;570;580;595;1 109;1 276;1 411;1 562
59144;Gommegnies;214;429;444;454;469;858;986;1 109;1 235
59147;Gondecourt;262;528;543;553;568;1 056;1 214;1 347;1 492
59231;Gonnelieu;199;398;413;423;438;796;915;1 035;1 155
59253;La Gorgue;284;573;588;598;613;1 147;1 318;1 456;1 610
59231;Gouzeaucourt;200;400;415;425;440;800;920;1 040;1 160
59760;Grande-Synthe;348;705;720;730;745;1 411;1 622;1 773;1 954
59244;Grand-Fayt;200;400;415;425;440;800;920;1 040;1 160
59153;Grand-Fort-Philippe;343;695;710;720;735;1 390;1 598;1 748;1 927
59820;Gravelines;341;691;706;716;731;1 382;1 589;1 738;1 916
59360;La Groise;188;375;390;400;415;751;863;981;1 096
59152;Gruson;278;561;576;586;601;1 122;1 290;1 426;1 578
59287;Guesnain;234;470;485;495;510;940;1 081;1 208;1 342
59570;Gussignies;266;536;551;561;576;1 072;1 233;1 367;1 514
59320;Hallennes-lez-Haubourdin;283;571;586;596;611;1 142;1 314;1 451;1 605
59250;Halluin;292;590;605;615;630;1 180;1 356;1 495;1 653
59151;Hamel;226;454;469;479;494;907;1 043;1 169;1 299
59496;Hantay;271;546;561;571;586;1 093;1 257;1 391;1 541
59670;Hardifort;312;631;646;656;671;1 262;1 451;1 594;1 761
