cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
2170;Leschelle;181;319;334;349;369;639;703;817;878
2100;Lesdins;175;308;323;338;358;616;678;790;850
2220;Lesges;115;196;211;226;246;391;430;520;569
2120;Lesquielles-Saint-Germain;171;301;316;331;351;601;661;772;832
2380;Leuilly-sous-Coucy;133;229;244;259;279;459;505;601;653
2880;Leury;132;228;243;258;278;455;501;596;649
2500;Leuze;155;271;286;301;321;541;595;700;757
2420;Levergies;186;329;344;359;379;658;723;839;902
2220;Lhuys;108;183;198;213;233;365;402;488;536
2810;Licy-Clignon;136;235;250;265;285;470;517;614;668
2860;Lierval;129;222;237;252;272;444;488;583;635
2350;Liesse-Notre-Dame;127;218;233;248;268;436;480;574;625
2700;Liez;164;288;303;318;338;575;633;740;799
2220;Limé;107;181;196;211;231;361;397;484;532
2340;Lislet;130;224;239;254;274;448;492;587;639
2320;Lizy;150;261;276;291;311;523;575;677;733
2500;Logny-lès-Aubenton;152;265;280;295;315;530;583;686;743
2600;Longpont;152;265;280;295;315;530;583;686;743
2160;Longueval-Barbonval;103;173;188;203;223;346;381;466;513
2190;Lor;104;175;190;205;225;350;385;470;518
2600;Louâtre;149;259;274;289;309;519;571;673;728
2130;Loupeigne;111;188;203;218;238;376;414;502;550
2400;Lucy-le-Bocage;105;177;192;207;227;354;389;475;522
2140;Lugny;150;261;276;291;311;523;575;677;733
2500;Luzoir;173;304;319;334;354;609;670;781;841
2440;Ly-Fontaine;167;293;308;323;343;586;645;754;813
2220;Maast-et-Violaine;129;222;237;252;272;444;488;583;635
2350;Mâchecourt;146;254;269;284;304;508;558;659;714
2470;Macogny;143;248;263;278;298;496;546;646;700
2120;Macquigny;174;306;321;336;356;613;674;785;846
2420;Magny-la-Fosse;185;327;342;357;377;654;719;835;897
2490;Maissemy;178;314;329;344;364;628;690;803;864
2160;Maizy;107;181;196;211;231;361;397;484;532
2120;Malzy;176;310;325;340;360;620;682;794;855
2300;Manicamp;174;306;321;336;356;613;674;785;846
2350;Marchais;146;254;269;284;304;508;558;659;714
2540;Marchais-en-Brie;75;121;136;151;171;241;265;340;382
2720;Marcy;173;304;319;334;354;609;670;781;841
2250;Marcy-sous-Marle;148;258;273;288;308;515;567;668;724
2300;Marest-Dampcourt;173;304;319;334;354;609;670;781;841
2130;Mareuil-en-Dôle;110;186;201;216;236;373;410;497;546
2140;Marfontaine;155;271;286;301;321;541;595;700;757
2880;Margival;125;214;229;244;264;429;472;565;616
2810;Marigny-en-Orxois;108;183;198;213;233;365;402;488;536
2470;Marizy-Sainte-Geneviève;122;209;224;239;259;418;459;551;602
2470;Marizy-Saint-Mard;118;201;216;231;251;403;443;533;583
2250;Marle;147;256;271;286;306;511;562;664;719
