cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
59580;Émerchicourt;229;409;424;439;459;819;942;1063;1184
59320;Emmerin;269;484;499;514;534;969;1114;1243;1379
59530;Englefontaine;202;359;374;389;409;718;825;941;1053
59320;Englos;293;529;544;559;579;1059;1218;1351;1496
59320;Ennetières-en-Weppes;282;509;524;539;559;1018;1170;1301;1443
59710;Ennevelin;267;481;496;511;531;961;1105;1234;1370
59132;Eppe-Sauvage;204;363;378;393;413;725;834;950;1063
59169;Erchin;231;413;428;443;463;826;950;1072;1194
59470;Eringhem;338;614;629;644;664;1228;1412;1553;1716
59320;Erquinghem-le-Sec;283;511;526;541;561;1021;1174;1306;1448
59193;Erquinghem-Lys;294;531;546;561;581;1063;1222;1355;1501
59171;Erre;239;428;443;458;478;856;985;1108;1233
59213;Escarmain;249;447;462;477;497;894;1028;1153;1282
59124;Escaudain;235;421;436;451;471;841;967;1090;1214
59161;Escaudœuvres;218;389;404;419;439;778;894;1013;1131
59278;Escautpont;259;466;481;496;516;931;1071;1198;1331
59320;Escobecques;283;511;526;541;561;1021;1174;1306;1448
59127;Esnes;210;374;389;404;424;748;860;977;1092
59470;Esquelbecq;331;601;616;631;651;1201;1381;1522;1682
59553;Esquerchin;248;445;460;475;495;890;1024;1148;1277
59940;Estaires;285;514;529;544;564;1029;1183;1315;1457
59400;Estourmel;215;383;398;413;433;766;881;1000;1116
59151;Estrées;227;406;421;436;456;811;933;1054;1175
59990;Estreux;249;447;462;477;497;894;1028;1153;1282
59295;Estrun;227;406;421;436;456;811;933;1054;1175
59161;Eswars;219;391;406;421;441;781;898;1018;1136
59144;Eth;256;460;475;490;510;920;1058;1184;1316
59219;Étrœungt;186;329;344;359;379;658;756;869;975
59155;Faches-Thumesnil;269;484;499;514;534;969;1114;1243;1379
59300;Famars;245;439;454;469;489;879;1011;1135;1262
59310;Faumont;262;471;486;501;521;943;1084;1211;1345
59550;Le Favril;193;342;357;372;392;684;786;901;1009
59247;Féchain;227;406;421;436;456;811;933;1054;1175
59750;Feignies;273;492;507;522;542;984;1131;1261;1399
59740;Felleries;200;355;370;385;405;710;817;932;1043
59179;Fenain;240;430;445;460;480;860;989;1112;1238
59169;Férin;231;413;428;443;463;826;950;1072;1194
59610;Féron;189;334;349;364;384;669;769;883;989
59680;Ferrière-la-Grande;212;378;393;408;428;755;868;986;1102
