CP;Commune;Distance;01-02;03-04;05-06;07-08;09-12;13-16 ;17-31 ;32-54
08220;Saint-Jean-aux-Bois;140;276;291;301;316;553;635;743;838
08250;Saint-Juvin;115;225;240;250;265;449;517;619;704
08130;Saint-Lambert-et-Mont-de-Jeux;110;214;229;239;254;429;493;595;677
08090;Saint-Laurent;160;318;333;343;358;635;730;842;946
08300;Saint-Loup-en-Champagne;100;194;209;219;234;388;446;545;624
08130;Saint-Loup-Terrier;145;287;302;312;327;573;659;768;865
08160;Saint-Marceau;145;287;302;312;327;573;659;768;865
08460;Saint-Marcel;150;297;312;322;337;594;683;793;892
08200;Saint-Menges;165;328;343;353;368;656;754;867;972
08400;Saint-Morel;100;194;209;219;234;388;446;545;624
08430;Saint-Pierre-sur-Vence;140;276;291;301;316;553;635;743;838
08310;Saint-Pierre-à-Arnes;95;183;198;208;223;367;422;520;597
08240;Saint-Pierremont;130;256;271;281;296;511;588;694;785
08220;Saint-Quentin-le-Petit;120;235;250;260;275;470;541;644;731
08300;Saint-Remy-le-Petit;95;183;198;208;223;367;422;520;597
08310;Saint-Étienne-à-Arnes;90;173;188;198;213;346;398;496;570
08400;Sainte-Marie;100;194;209;219;234;388;446;545;624
08130;Sainte-Vaubourg;105;204;219;229;244;408;469;570;651
08160;Sapogne-et-Feuchères;155;307;322;332;347;614;707;817;919
08370;Sapogne-sur-Marche;200;400;415;425;440;800;920;1040;1160
08130;Saulces-Champenoises;200;400;415;425;440;800;920;1040;1160
08270;Saulces-Monclin;124;243;258;268;283;487;559;664;752
08300;Sault-lès-Rethel;105;204;219;229;244;408;469;570;651
08190;Sault-Saint-Remy;95;183;198;208;223;367;422;520;597
08390;Sauville;155;307;322;332;347;614;707;817;919
08400;Savigny-sur-Aisne;100;194;209;219;234;388;446;545;624
08200;Sedan;162;322;337;347;362;643;740;852;956
08400;Semide;90;173;188;198;213;346;398;496;570
08130;Semuy;115;225;240;250;265;449;517;619;704
08250;Senuc;105;204;219;229;244;408;469;570;651
08220;Seraincourt;125;245;260;270;285;491;564;669;758
08270;Sery;115;225;240;250;265;449;517;619;704
08300;Seuil;115;225;240;250;265;449;517;619;704
08460;Signy-l'Abbaye;130;256;271;281;296;511;588;694;785
08380;Signy-le-Petit;160;318;333;343;358;635;730;842;946
08370;Signy-Montlibert;200;400;415;425;440;800;920;1040;1160
08430;Singly;140;276;291;301;316;553;635;743;838
08240;Sommauthe;130;256;271;281;296;511;588;694;785
08250;Sommerance;135;266;281;291;306;532;612;718;811
08300;Son;120;235;250;260;275;470;541;644;731
08300;Sorbon;110;214;229;239;254;429;493;595;677
08270;Sorcy-Bauthémont;125;245;260;270;285;491;564;669;758
08150;Sormonne;165;328;343;353;368;656;754;867;972
08390;Stonne;135;266;281;291;306;532;612;718;811
08400;Sugny;100;194;209;219;234;388;446;545;624
08090;Sury;160;318;333;343;358;635;730;842;946
08130;Suzanne;115;225;240;250;265;449;517;619;704
08390;Sy;130;256;271;281;296;511;588;694;785
08250;Séchault;95;183;198;208;223;367;422;520;597
08150;Sécheval;165;328;343;353;368;656;754;867;972
08230;Sévigny-la-Forêt;160;318;333;343;358;635;730;842;946
08220;Sévigny-Waleppe;125;245;260;270;285;491;564;669;758
08300;Tagnon;95;183;198;208;223;367;422;520;597
08230;Taillette;165;328;343;353;368;656;754;867;972
08240;Tailly;130;256;271;281;296;511;588;694;785
08360;Taizy;110;214;229;239;254;429;493;595;677
08390;Tannay;125;245;260;270;285;491;564;669;758
08380;Tarzy;160;318;333;343;358;635;730;842;946
